"Story","Title","Result","Date","Stability","Duration (s)"
"Learn about the application","Should be able to identify the application","SUCCESS","2022-08-14T23:30:18.155398375Z[Etc/UTC]","0.0","7.44"
"Learn about the application","Should see how to begin","SUCCESS","2022-08-14T23:30:26.036294009Z[Etc/UTC]","0.0","0.85"
"Download the app","Should see the number of todos decrease when an item is completed","SUCCESS","2022-08-14T23:30:43.387021067Z[Etc/UTC]","0.0","1.18"
"Download the app","Should be able to download the application","SUCCESS","2022-08-14T23:30:44.6719591Z[Etc/UTC]","0.0","11.57"
"Complete a todo","Should be able to complete a todo","SUCCESS","2022-08-14T23:30:56.384189069Z[Etc/UTC]","0.0","1.18"
"Complete a todo","Should see the number of todos decrease when an item is completed","SUCCESS","2022-08-14T23:30:57.640194784Z[Etc/UTC]","0.0","1.19"
"Todos belong to a user","Should not affect todos belonging to another user","SUCCESS","2022-08-14T23:30:28.200186645Z[Etc/UTC]","0.0","2.48"
"Deleting todos","Should be able to delete todos","SUCCESS","2022-08-14T23:30:31.061108156Z[Etc/UTC]","0.0","1.15"
"Deleting todos","Should see deleting a todo decreases the remaining items count","SUCCESS","2022-08-14T23:30:32.318429166Z[Etc/UTC]","0.0","1.12"
"Clear completed todos","Should not be able to clear completed todos if none are complete","SUCCESS","2022-08-14T23:30:33.629870113Z[Etc/UTC]","0.0","1.06"
"Clear completed todos","Should be able to clear completed todos","SUCCESS","2022-08-14T23:30:34.770286795Z[Etc/UTC]","0.0","1.29"
"Filtering todos","Should be able to view only incomplete todos","SUCCESS","2022-08-14T23:30:36.252196242Z[Etc/UTC]","0.0","1.4"
"Filtering todos","Should be able to view only completed todos","SUCCESS","2022-08-14T23:30:37.757411061Z[Etc/UTC]","0.0","1.47"
"Filtering todos","Should be able to view both complete and incomplete todos","SUCCESS","2022-08-14T23:30:39.338600984Z[Etc/UTC]","0.0","1.48"
"Completing todos","Mark a task as completed","SUCCESS","2022-08-14T23:31:24.690887772Z[Etc/UTC]","0.0","1.29"
"Completing todos","List of completed items should be empty if nothing has been completed","SUCCESS","2022-08-14T23:31:26.084955654Z[Etc/UTC]","0.0","3.21"
"Deleting todos","Delete an active item","SUCCESS","2022-08-14T23:31:29.402704933Z[Etc/UTC]","0.0","1.15"
"Deleting todos","Delete all the items","SUCCESS","2022-08-14T23:31:30.658406326Z[Etc/UTC]","0.0","3.15"
"Filtering todos","View only the completed items","SUCCESS","2022-08-14T23:31:33.915294247Z[Etc/UTC]","0.0","1.26"
"Filtering todos","Viewing the items by status","SUCCESS","2022-08-14T23:31:35.289527675Z[Etc/UTC]","0.0","3.4"
"Learn about the application","Should be able to identify the application with page objects","SUCCESS","2022-08-14T23:30:59.1571422Z[Etc/UTC]","0.0","1.37"
"Learn about the application","Should see how to begin with page objects","SUCCESS","2022-08-14T23:31:00.632698308Z[Etc/UTC]","0.0","1.2"
"Add different sorts of todos","Should be able to add a new todo item","SUCCESS","2022-08-14T23:31:05.810921556Z[Etc/UTC]","0.0","13.81"
"Toggle all todos","Should be able to toggle status of all todos with page objects","SUCCESS","2022-08-14T23:31:18.273163238Z[Etc/UTC]","0.0","1.16"
"Toggle all todos","Should see how many items todo when all are toggled to incomplete with page objects","SUCCESS","2022-08-14T23:31:19.531513319Z[Etc/UTC]","0.0","1.08"
"Toggle all todos","Should see that there are zero items todo when all are toggled complete with page objects","SUCCESS","2022-08-14T23:31:20.711591176Z[Etc/UTC]","0.0","1.05"
"Toggle all todos","Should be able to quickly complete all todos with page objects","SUCCESS","2022-08-14T23:31:21.86623489Z[Etc/UTC]","0.0","1.09"
"Complete a todo","Should be able to complete a todo with page objects","SUCCESS","2022-08-14T23:31:23.137317047Z[Etc/UTC]","0.0","1.19"
"Deleting todos","Should be able to delete todos with page objects","SUCCESS","2022-08-14T23:31:06.046939527Z[Etc/UTC]","0.0","1.07"
"Deleting todos","Should see deleting a todo decreases the remaining items count with page objects","SUCCESS","2022-08-14T23:31:07.221811795Z[Etc/UTC]","0.0","1.07"
"Clear completed todos","Should be able to clear completed todos with page objects","SUCCESS","2022-08-14T23:31:08.448210747Z[Etc/UTC]","0.0","1.35"
"Clear completed todos","Should not be able to clear completed todos if none are complete with page objects","SUCCESS","2022-08-14T23:31:09.900504593Z[Etc/UTC]","0.0","0.99"
"Filtering todos","Should be able to view both complete and incomplete todos with page objects","SUCCESS","2022-08-14T23:31:11.04481583Z[Etc/UTC]","0.0","1.45"
"Filtering todos","Should be able to view only completed todos with page objects","SUCCESS","2022-08-14T23:31:12.601058643Z[Etc/UTC]","0.0","1.34"
"Filtering todos","Should be able to view only incomplete todos with page objects","SUCCESS","2022-08-14T23:31:14.044487909Z[Etc/UTC]","0.0","1.32"
"Add new todos","Test to resolve issue #616172","SUCCESS","2022-08-14T23:31:15.558800418Z[Etc/UTC]","0.0","1.36"
"Add new todos","Should be able to add additional todo items with page objects","SUCCESS","2022-08-14T23:31:17.02224924Z[Etc/UTC]","0.0","1.08"
"Add new todos","Should be able to add the first todo item","SUCCESS","2022-08-14T23:30:41.067433723Z[Etc/UTC]","0.0","0.79"
"Add new todos","Should be able to add additional todo items","SUCCESS","2022-08-14T23:30:41.961216448Z[Etc/UTC]","0.0","1.23"
"Add new todos","Adding an item to an empty list in Cucumber","SUCCESS","2022-08-14T23:31:38.79941873Z[Etc/UTC]","0.0","0.79"
"Add new todos","Adding an item to a list with other items in Cucumber","SUCCESS","2022-08-14T23:31:39.698204921Z[Etc/UTC]","0.0","1.18"
"Add new todos","Adding items to several peoples lists in Cucumber","SUCCESS","2022-08-14T23:31:40.980041655Z[Etc/UTC]","0.0","2.19"
