"Story","Title","Result","Date","Stability","Duration (s)"
"Learn about the application","Should be able to identify the application with page objects","SUCCESS","2022-08-14T23:30:59.1571422Z[Etc/UTC]","0.0","1.37"
"Learn about the application","Should see how to begin with page objects","SUCCESS","2022-08-14T23:31:00.632698308Z[Etc/UTC]","0.0","1.2"
"Add different sorts of todos","Should be able to add a new todo item","SUCCESS","2022-08-14T23:31:05.810921556Z[Etc/UTC]","0.0","13.81"
"Toggle all todos","Should be able to toggle status of all todos with page objects","SUCCESS","2022-08-14T23:31:18.273163238Z[Etc/UTC]","0.0","1.16"
"Toggle all todos","Should see how many items todo when all are toggled to incomplete with page objects","SUCCESS","2022-08-14T23:31:19.531513319Z[Etc/UTC]","0.0","1.08"
"Toggle all todos","Should see that there are zero items todo when all are toggled complete with page objects","SUCCESS","2022-08-14T23:31:20.711591176Z[Etc/UTC]","0.0","1.05"
"Toggle all todos","Should be able to quickly complete all todos with page objects","SUCCESS","2022-08-14T23:31:21.86623489Z[Etc/UTC]","0.0","1.09"
"Complete a todo","Should be able to complete a todo with page objects","SUCCESS","2022-08-14T23:31:23.137317047Z[Etc/UTC]","0.0","1.19"
"Deleting todos","Should be able to delete todos with page objects","SUCCESS","2022-08-14T23:31:06.046939527Z[Etc/UTC]","0.0","1.07"
"Deleting todos","Should see deleting a todo decreases the remaining items count with page objects","SUCCESS","2022-08-14T23:31:07.221811795Z[Etc/UTC]","0.0","1.07"
"Clear completed todos","Should be able to clear completed todos with page objects","SUCCESS","2022-08-14T23:31:08.448210747Z[Etc/UTC]","0.0","1.35"
"Clear completed todos","Should not be able to clear completed todos if none are complete with page objects","SUCCESS","2022-08-14T23:31:09.900504593Z[Etc/UTC]","0.0","0.99"
"Filtering todos","Should be able to view both complete and incomplete todos with page objects","SUCCESS","2022-08-14T23:31:11.04481583Z[Etc/UTC]","0.0","1.45"
"Filtering todos","Should be able to view only completed todos with page objects","SUCCESS","2022-08-14T23:31:12.601058643Z[Etc/UTC]","0.0","1.34"
"Filtering todos","Should be able to view only incomplete todos with page objects","SUCCESS","2022-08-14T23:31:14.044487909Z[Etc/UTC]","0.0","1.32"
"Add new todos","Test to resolve issue #616172","SUCCESS","2022-08-14T23:31:15.558800418Z[Etc/UTC]","0.0","1.36"
"Add new todos","Should be able to add additional todo items with page objects","SUCCESS","2022-08-14T23:31:17.02224924Z[Etc/UTC]","0.0","1.08"
