"Story","Title","Result","Date","Stability","Duration (s)"
"Learn about the application","Should be able to identify the application","SUCCESS","2022-08-14T23:30:18.155398375Z[Etc/UTC]","0.0","7.44"
"Download the app","Should see the number of todos decrease when an item is completed","SUCCESS","2022-08-14T23:30:43.387021067Z[Etc/UTC]","0.0","1.18"
"Complete a todo","Should be able to complete a todo","SUCCESS","2022-08-14T23:30:56.384189069Z[Etc/UTC]","0.0","1.18"
"Complete a todo","Should see the number of todos decrease when an item is completed","SUCCESS","2022-08-14T23:30:57.640194784Z[Etc/UTC]","0.0","1.19"
"Deleting todos","Should be able to delete todos","SUCCESS","2022-08-14T23:30:31.061108156Z[Etc/UTC]","0.0","1.15"
"Deleting todos","Should see deleting a todo decreases the remaining items count","SUCCESS","2022-08-14T23:30:32.318429166Z[Etc/UTC]","0.0","1.12"
"Learn about the application","Should be able to identify the application with page objects","SUCCESS","2022-08-14T23:30:59.1571422Z[Etc/UTC]","0.0","1.37"
"Learn about the application","Should see how to begin with page objects","SUCCESS","2022-08-14T23:31:00.632698308Z[Etc/UTC]","0.0","1.2"
"Toggle all todos","Should be able to toggle status of all todos with page objects","SUCCESS","2022-08-14T23:31:18.273163238Z[Etc/UTC]","0.0","1.16"
"Toggle all todos","Should see how many items todo when all are toggled to incomplete with page objects","SUCCESS","2022-08-14T23:31:19.531513319Z[Etc/UTC]","0.0","1.08"
"Toggle all todos","Should see that there are zero items todo when all are toggled complete with page objects","SUCCESS","2022-08-14T23:31:20.711591176Z[Etc/UTC]","0.0","1.05"
"Toggle all todos","Should be able to quickly complete all todos with page objects","SUCCESS","2022-08-14T23:31:21.86623489Z[Etc/UTC]","0.0","1.09"
"Add new todos","Should be able to add additional todo items","SUCCESS","2022-08-14T23:30:41.961216448Z[Etc/UTC]","0.0","1.23"
